GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1301701258,20250430,202504,2025,2025.3288,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,0,072,072,07,2,8.3,10,1,10,-2.82776349614396,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,20260430013000,https://www.dailyexcelsior.com/russia-to-hold-victory-day-parade-without-military-equipment-for-1st-time-since-invading-ukraine/
1301701259,20250430,202504,2025,2025.3288,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,013,013,01,1,0.4,4,1,4,-0.31201248049922,3,"Van Zandt County, Texas, United States",US,USTX,TX467,32.5668,-95.8502,1384019,0,,,,,,,,3,"Van Zandt County, Texas, United States",US,USTX,,32.5668,-95.8502,1384019,20260430013000,https://www.khou.com/article/news/local/east-texan-builds-log-cabin-from-scratch/501-95c43b02-f00e-40a9-ab5f-16d8cbbf4325
1301701260,20250430,202504,2025,2025.3288,USA,UNITED STATES,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,042,042,04,1,1.9,1,1,1,-2.26460071513706,1,Costa Rica,CS,CS,,10,-84,CS,1,Costa Rica,CS,CS,,10,-84,CS,1,Costa Rica,CS,CS,,10,-84,CS,20260430013000,https://www.bostonglobe.com/2026/04/29/metro/vigil-wellesley-two-children-killed/
1301701261,20260423,202604,2026,2026.3096,,,,,,,,,,,IRNOPP,IRANIAN,IRN,,,,,OPP,,,0,180,180,18,4,-9.0,6,1,6,-6.53386454183267,0,,,,,,,,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,20260430013000,https://www.dailymail.com/news/article-15777411/Keir-Starmer-Jew-harmer-PM-condemnation-Israel-antisemitism-UK.html
1301701262,20260423,202604,2026,2026.3096,GBRPTY,UNITED KINGDOM,GBR,,,,,,,,,,,,,,,,,,0,020,020,02,1,3.0,2,1,2,-6.53386454183267,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,0,,,,,,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260430013000,https://www.dailymail.com/news/article-15777411/Keir-Starmer-Jew-harmer-PM-condemnation-Israel-antisemitism-UK.html
1301701263,20260423,202604,2026,2026.3096,IRNMED,IRAN,IRN,,,,,MED,,,,,,,,,,,,,1,010,010,01,1,0.0,2,1,2,-0.43103448275862,1,Iran,IR,IR,,32,53,IR,0,,,,,,,,1,Iran,IR,IR,,32,53,IR,20260430013000,https://www.rawstory.com/trump-gas-prices-2676832279/
1301701264,20260423,202604,2026,2026.3096,IRNOPP,IRAN,IRN,,,,,OPP,,,IRN,IRANIAN,IRN,,,,,,,,0,180,180,18,4,-9.0,2,1,2,-6.53386454183267,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,20260430013000,https://www.dailymail.com/news/article-15777411/Keir-Starmer-Jew-harmer-PM-condemnation-Israel-antisemitism-UK.html
1301701265,20260423,202604,2026,2026.3096,JAM,KINGSTON,JAM,,,,,,,,COL,COLOMBIAN,COL,,,,,,,,1,112,112,11,3,-2.0,10,1,10,-6.81114551083592,4,"Port Royal, Saint George, Grenada",GJ,GJ03,16732,12.05,-61.75,-1202232,4,"Port Royal, Saint George, Grenada",GJ,GJ03,16732,12.05,-61.75,-1202232,4,"Port Royal, Saint George, Grenada",GJ,GJ03,16732,12.05,-61.75,-1202232,20260430013000,https://www.jamaicaobserver.com/2026/04/29/columbian-among-three-charged-following-major-cocaine-seizure/
1301701266,20260423,202604,2026,2026.3096,JEW,JEWISH,,,,JEW,,,,,IRN,IRANIAN,IRN,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-6.53386454183267,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,20260430013000,https://www.dailymail.com/news/article-15777411/Keir-Starmer-Jew-harmer-PM-condemnation-Israel-antisemitism-UK.html
1301701267,20260423,202604,2026,2026.3096,JEW,JEWISH,,,,JEW,,,,,IRNOPP,IRANIAN,IRN,,,,,OPP,,,0,190,190,19,4,-10.0,8,1,8,-6.53386454183267,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,20260430013000,https://www.dailymail.com/news/article-15777411/Keir-Starmer-Jew-harmer-PM-condemnation-Israel-antisemitism-UK.html
1301701268,20260423,202604,2026,2026.3096,PTY,PARTY LEADER,,,,,,,,,,,,,,,,,,,0,020,020,02,1,3.0,6,1,6,-6.53386454183267,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,0,,,,,,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260430013000,https://www.dailymail.com/news/article-15777411/Keir-Starmer-Jew-harmer-PM-condemnation-Israel-antisemitism-UK.html
